,averageOccupancy,averageSpeed,dataRegion,month,paxKms,routeLength,routeUid,vehicleKms,vehicleTrips,vehicleUid,year,Unnamed: 11,Unnamed: 12,CURRENT PLATE,Euro Class
947,0.808950284,32.76489125,Bay of Plenty,5,258.4990143,24.58066948,Bay of Plenty-81,319.5487032,17,JQL760,2022,,,JQL760,EURO IV
948,1.438629911,31.64564626,Bay of Plenty,5,1636.635181,47.40144215,Bay of Plenty-103,1137.634612,29,JQL760,2022,,,JQL760,EURO IV
949,2.41534817,49.36455113,Bay of Plenty,5,3870.455089,40.06104729,Bay of Plenty-80,1602.441892,46,JQL760,2022,,,JQL760,EURO IV
950,6.322941291,40.65853932,Bay of Plenty,7,303.2134143,23.97724416,Bay of Plenty-81,47.95448832,8,JQL760,2022,,,JQL760,EURO IV
951,8.350254292,35.86271249,Bay of Plenty,7,1582.910286,47.39108028,Bay of Plenty-103,189.5643211,11,JQL760,2022,,,JQL760,EURO IV
952,5.078848844,51.78286018,Bay of Plenty,7,7215.258407,39.46245514,Bay of Plenty-80,1420.648385,47,JQL760,2022,,,JQL760,EURO IV
953,4.657032348,20.3179052,Bay of Plenty,2,395.9894783,14.17173888,Bay of Plenty-81,85.03043328,18,JQL760,2022,,,JQL760,EURO IV
954,3.304875832,20.02261395,Bay of Plenty,2,664.9208549,28.7419856,Bay of Plenty-103,201.1938992,12,JQL760,2022,,,JQL760,EURO IV
955,5.320115082,42.87747263,Bay of Plenty,2,6517.254312,35.00060867,Bay of Plenty-80,1225.021303,50,JQL760,2022,,,JQL760,EURO IV
956,2.540083194,38.14597844,Bay of Plenty,4,2799.966258,23.96332209,Bay of Plenty-81,1102.312816,63,JQL760,2022,,,JQL760,EURO IV
957,2.129374592,32.5800071,Bay of Plenty,4,2220.579384,47.40144215,Bay of Plenty-103,1042.831727,29,JQL760,2022,,,JQL760,EURO IV
958,14.43829719,49.30916528,Bay of Plenty,4,2334.571171,40.42324279,Bay of Plenty-80,161.6929712,16,JQL760,2022,,,JQL760,EURO IV
959,8.944797705,45.12816171,Bay of Plenty,9,2079.084985,116.217552,Bay of Plenty-143a,232.435104,4,JQL760,2022,,,JQL760,EURO IV
960,1.173646474,53.29036914,Bay of Plenty,9,262.1811989,55.84756672,Bay of Plenty-147,223.3902669,4,JQL760,2022,,,JQL760,EURO IV
961,3.215702238,31.37507713,Bay of Plenty,9,233.7912833,24.23434198,Bay of Plenty-81,72.70302595,7,JQL760,2022,,,JQL760,EURO IV
962,17.74785456,33.88328633,Bay of Plenty,9,1677.114057,47.24836039,Bay of Plenty-103,94.49672077,5,JQL760,2022,,,JQL760,EURO IV
963,6.537243144,52.22998016,Bay of Plenty,9,794.4172521,40.50725128,Bay of Plenty-80,121.5217538,6,JQL760,2022,,,JQL760,EURO IV
964,8.956816473,48.23424083,Bay of Plenty,9,2139.725022,119.4467381,Bay of Plenty-143b,238.8934761,3,JQL760,2022,,,JQL760,EURO IV
965,1.539886164,48.67885605,Bay of Plenty,8,171.991319,55.84546541,Bay of Plenty-147,111.6909308,2,JQL760,2022,,,JQL760,EURO IV
966,4.46741792,52.8313166,Bay of Plenty,8,9693.127078,39.44978449,Bay of Plenty-80,2169.738147,59,JQL760,2022,,,JQL760,EURO IV
967,6.991523445,47.52618962,Bay of Plenty,8,833.8393768,119.2643325,Bay of Plenty-143b,119.2643325,1,JQL760,2022,,,JQL760,EURO IV
968,1.163032313,13.52361927,Bay of Plenty,11,20.52993909,8.826039855,Bay of Plenty-81,17.65207971,2,JQL760,2022,,,JQL760,EURO IV
969,4.256081994,2.790136352,Bay of Plenty,11,21.58949897,5.072622896,Bay of Plenty-103,5.072622896,1,JQL760,2022,,,JQL760,EURO IV
970,2.627451239,21.68716816,Bay of Plenty,11,6790.54218,14.85321741,Bay of Plenty-122,2584.459829,186,JQL760,2022,,,JQL760,EURO IV
971,3.038280418,5.862135732,Bay of Plenty,11,115.6861727,4.759524994,Bay of Plenty-80,38.07619995,9,JQL760,2022,,,JQL760,EURO IV
972,15.98704498,36.4274034,Bay of Plenty,10,2324.613092,24.23434198,Bay of Plenty-81,145.4060519,24,JQL760,2022,,,JQL760,EURO IV
973,14.59137872,33.53816712,Bay of Plenty,10,6192.273601,47.15321379,Bay of Plenty-103,424.3789241,23,JQL760,2022,,,JQL760,EURO IV
974,45.77003291,53.53410499,Bay of Plenty,10,3702.611707,40.44799044,Bay of Plenty-80,80.89598088,21,JQL760,2022,,,JQL760,EURO IV
975,11.26098139,37.0010549,Bay of Plenty,1,539.7010482,23.96332209,Bay of Plenty-81,47.92664417,8,JQL760,2022,,,JQL760,EURO IV
976,12.56111191,46.68765914,Bay of Plenty,1,1520.368802,40.34591877,Bay of Plenty-80,121.0377563,9,JQL760,2022,,,JQL760,EURO IV
977,1.264336961,22.81395191,Bay of Plenty,12,531.8689603,15.02393791,Bay of Plenty-122,420.6702616,29,JQL760,2022,,,JQL760,EURO IV
978,3.215575003,34.9599147,Bay of Plenty,3,616.4468759,23.96332209,Bay of Plenty-81,191.7065767,17,JQL760,2022,,,JQL760,EURO IV
979,2.589867067,31.58094218,Bay of Plenty,3,3191.849283,47.40144215,Bay of Plenty-103,1232.437496,36,JQL760,2022,,,JQL760,EURO IV
980,5.176551452,50.67859108,Bay of Plenty,3,2302.983773,40.44433116,Bay of Plenty-80,444.8876428,19,JQL760,2022,,,JQL760,EURO IV
981,7.037365711,54.13612056,Bay of Plenty,6,819.9443216,116.5129617,Bay of Plenty-143a,116.5129617,1,JQL760,2022,,,JQL760,EURO IV
982,4.49069204,34.54796037,Bay of Plenty,6,215.348839,23.97724416,Bay of Plenty-81,47.95448832,5,JQL760,2022,,,JQL760,EURO IV
983,1.805413052,31.54997844,Bay of Plenty,6,1363.814231,47.21268041,Bay of Plenty-103,755.4028866,19,JQL760,2022,,,JQL760,EURO IV
984,8.708865382,42.48986448,Bay of Plenty,6,704.5122074,40.44799044,Bay of Plenty-80,80.89598088,5,JQL760,2022,,,JQL760,EURO IV
985,5.438405985,51.02060383,Bay of Plenty,6,650.5918506,119.6291436,Bay of Plenty-143b,119.6291436,1,JQL760,2022,,,JQL760,EURO IV
986,13.83983488,13.41483409,Bay of Plenty,2,1815.436457,32.79367984,Bay of Plenty-143a,131.1747194,8,KBD886,2022,,,KBD886,EURO IV
987,1.32849922,2.175743112,Bay of Plenty,2,22.9479471,2.878931198,Bay of Plenty-147,17.27358719,8,KBD886,2022,,,KBD886,EURO IV
988,20.50323758,17.50538274,Bay of Plenty,2,2689.983374,43.73266033,Bay of Plenty-143b,131.197981,6,KBD886,2022,,,KBD886,EURO IV
989,43.30346181,46.12570279,Bay of Plenty,10,20130.4893,116.217552,Bay of Plenty-143a,464.870208,14,KBD886,2022,,,KBD886,EURO IV
990,2.050693063,46.75577294,Bay of Plenty,10,2194.919448,56.33318719,Bay of Plenty-147,1070.330557,26,KBD886,2022,,,KBD886,EURO IV
991,41.06002468,49.01228223,Bay of Plenty,10,24514.94048,119.4102569,Bay of Plenty-143b,597.0512847,15,KBD886,2022,,,KBD886,EURO IV
992,25.89863992,49.13118723,Bay of Plenty,3,12125.55983,117.0482298,Bay of Plenty-143a,468.1929192,15,KBD886,2022,,,KBD886,EURO IV
993,2.001815025,50.52129474,Bay of Plenty,3,2366.205199,56.28713775,Bay of Plenty-147,1182.029893,29,KBD886,2022,,,KBD886,EURO IV
994,19.75951417,49.38284792,Bay of Plenty,3,11833.51404,119.7753541,Bay of Plenty-143b,598.8767707,17,KBD886,2022,,,KBD886,EURO IV
995,28.15143643,50.57439824,Bay of Plenty,4,9881.56015,117.0048069,Bay of Plenty-143a,351.0144207,10,KBD886,2022,,,KBD886,EURO IV
996,3.617278021,49.32435575,Bay of Plenty,4,2828.302469,55.84906765,Bay of Plenty-147,781.8869471,19,KBD886,2022,,,KBD886,EURO IV
997,1.841697698,40.78944331,Bay of Plenty,4,956.4677547,39.9492505,Bay of Plenty-135,519.3402565,14,KBD886,2022,,,KBD886,EURO IV
