service_id,service_description
WKO00_W_20211215_20211215,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220309_20220309,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220126_20220126,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220223_20220223,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220323_20220323,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220209_20220209,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220112_20220112,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220406_20220406,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220420_20220420,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220504_20220504,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220518_20220518,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220615_20220615,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220601_20220601,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220629_20220629,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220713_20220713,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220727_20220727,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220810_20220810,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220824_20220824,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220907_20220907,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20220921_20220921,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20221005_20221005,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20221019_20221019,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20221102_20221102,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20221116_20221116,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20221130_20221130,00_Mangakino_Taupo (Wednesday only)
WKO00_W_20221214_20221214,00_Mangakino_Taupo (Wednesday only)
WKO00_SSu_20211023_20220131,00_Labour Weekend to Easter Weekend (Ends 31st Jan) (Weekend)
WKO00_MTWThF_20211220_20220129,00_Summer School Holidays (Before 1st Feb) (Weekday)
WKO00_TF_20210701_20250808,00_Mangakino_Tokoroa_ (TuF)
WKO00_MTWThF_20211129_20211219_1,00_Year_Round_A_Aug_A_Christmas (Weekday)
WKO00_S_20211129_20211219_1,00_Year_Round_A_Aug_A_Christmas (Saturday only)
