service_id,date,holiday_name,exception_type
WKO00_MTWThF_20220201_20220414,20220207,Waitangi Day,2
WKO00_MTWThF_20221017_20221220,20220624,Matariki,2
WKO00_MTWThF_20221017_20221220,20220606,Queen's Birthday,2
WKO00_MTWThF_20220725_20220930,20220624,Matariki,2
WKO00_MTWThF_20220725_20220930,20220606,Queen's Birthday,2
WKO00_MTWThF_20220502_20220708,20220624,Matariki,2
WKO00_MTWThF_20220502_20220708,20220606,Queen's Birthday,2
WKO00_SSu_20220201_20220501,20220425,Anzac Day,1
WKO00_SSu_20220201_20220501,20220418,Easter Monday,1
WKO00_SSu_20220201_20220501,20220415,Good Friday,1
WKO00_SSu_20220201_20220501,20220207,Waitangi Day,1
WKO00_SSu_20220201_20220501,20220131,Auckland Anniversary Day,1
WKO00_MTWThF_20220201_20220501,20220425,Anzac Day,2
WKO00_MTWThF_20220201_20220501,20220418,Easter Monday,2
WKO00_MTWThF_20220201_20220501,20220415,Good Friday,2
WKO00_MTWThF_20220201_20220501,20220207,Waitangi Day,2
WKO00_MTWThF_20220201_20220501,20220131,Auckland Anniversary Day,2
WKO00_MTWThF_20211018_20211217,20220131,Auckland Anniversary Day,2
WKO00_MTWThF_20221001_20221016,20220425,Anzac Day,2
WKO00_MTWThF_20221001_20221016,20220418,Easter Monday,2
WKO00_MTWThF_20221001_20221016,20220415,Good Friday,2
WKO00_MTWThF_20220709_20220724,20220425,Anzac Day,2
WKO00_MTWThF_20220709_20220724,20220418,Easter Monday,2
WKO00_MTWThF_20220709_20220724,20220415,Good Friday,2
WKO00_MTWThF_20220416_20220501,20220425,Anzac Day,2
WKO00_MTWThF_20220416_20220501,20220418,Easter Monday,2
WKO00_MTWThF_20220416_20220501,20220415,Good Friday,2
WKO00_MTWThF_20221017_20221220_1,20220624,Matariki,2
WKO00_MTWThF_20221017_20221220_1,20220606,Queen's Birthday,2
WKO00_MTWThF_20221017_20221220_1,20220207,Waitangi Day,2
WKO00_MTWThF_20220725_20220930_1,20220624,Matariki,2
WKO00_MTWThF_20220725_20220930_1,20220606,Queen's Birthday,2
WKO00_MTWThF_20220725_20220930_1,20220207,Waitangi Day,2
WKO00_MTWThF_20220502_20220708_1,20220624,Matariki,2
WKO00_MTWThF_20220502_20220708_1,20220606,Queen's Birthday,2
WKO00_MTWThF_20220502_20220708_1,20220207,Waitangi Day,2
WKO00_SSu_20220201_20260313,20220418,Easter Monday,1
WKO00_SSu_20220201_20260313,20220415,Good Friday,1
WKO00_SSu_20220201_20260313,20220207,Waitangi Day,1
WKO00_SSu_20220201_20260313,20220131,Auckland Anniversary Day,1
WKO00_Su_20220201_20260313,20220624,Matariki,1
WKO00_Su_20220201_20260313,20220606,Queen's Birthday,1
WKO00_Su_20220201_20260313,20220425,Anzac Day,1
WKO00_Su_20220201_20260313,20220418,Easter Monday,1
WKO00_Su_20220201_20260313,20220415,Good Friday,1
