runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,WKO00_MTWThF_20211220_20220129,U5-01,1,1,t_1132939_b_29003_tn_0,14002089,t_1132938_b_29003_tn_0,14002089
1000000,WKO00_MTWThF_20211129_20211219_1,U2-ACW15,10,1,t_1435984_b_30130_tn_0,14008604,t_1435961_b_30130_tn_0,14008604
10000000,WKO00_MTWThF_20211129_20211219,U2-211,100,1,t_1539569_b_30892_tn_0,14002517,t_1539570_b_30892_tn_0,14002530
10100000,WKO00_MTWThF_20211129_20211219,U2-212,101,1,t_1539571_b_30892_tn_0,14008494,t_1539571_b_30892_tn_0,14002530
10200000,WKO00_MTWThF_20211129_20211219,U2-214,102,1,t_1539557_b_30892_tn_0,14002517,t_1539558_b_30892_tn_0,14002530
10300000,WKO00_MTWThF_20211129_20211219,U2-221,103,1,t_1539561_b_30892_tn_0,14002517,t_1539564_b_30892_tn_0,14002530
10400000,WKO00_MTWThF_20211129_20211219,U2-224,104,1,t_1539559_b_30892_tn_0,14002517,t_1539572_b_30892_tn_0,14002530
10500000,WKO00_MTWThF_20211129_20211219,U2-225,105,1,t_1539573_b_30892_tn_0,14002517,t_1539574_b_30892_tn_0,14002530
10600000,WKO00_MTWThF_20211129_20211219,U2-226,106,1,t_1539575_b_30892_tn_0,14002517,t_1539576_b_30892_tn_0,14002530
10700000,WKO00_MTWThF_20211129_20211219,U2-227,107,1,t_1539577_b_30892_tn_0,14002517,t_1539578_b_30892_tn_0,14002530
10800000,WKO00_MTWThF_20211129_20211219,U2-230,108,1,t_1539579_b_30892_tn_0,14002517,t_1539565_b_30892_tn_0,14002530
10900000,WKO00_MTWThF_20211129_20211219,U2-240,109,1,t_1539582_b_30892_tn_0,14002517,t_1539587_b_30892_tn_0,14002530
1100000,WKO00_MTWThF_20211129_20211219_1,U2-CW1,11,1,t_1435949_b_30130_tn_0,14008602,t_1436039_b_30130_tn_0,14008602
11000000,WKO00_S_20211129_20211219,20U2-12,110,1,t_1539539_b_30892_tn_0,14002517,t_1539540_b_30892_tn_0,14004270
11100000,WKO00_S_20211129_20211219,U1-6106,111,1,t_1539542_b_30892_tn_0,14002517,t_1539524_b_30892_tn_0,14002530
11200000,WKO00_S_20211129_20211219,U2-6281,112,1,t_1539525_b_30892_tn_0,14004270,t_1539525_b_30892_tn_0,14002530
11300000,WKO00_S_20211129_20211219,U2-6282,113,1,t_1539526_b_30892_tn_0,14004270,t_1539526_b_30892_tn_0,14002530
11400000,WKO00_S_20211129_20211219,U2-6283,114,1,t_1539547_b_30892_tn_0,14002517,t_1539527_b_30892_tn_0,14002530
11500000,WKO00_S_20211129_20211219,U2-6286,115,1,t_1539550_b_30892_tn_0,14002517,t_1539528_b_30892_tn_0,14002530
11600000,WKO00_S_20211129_20211219,U2-6293,116,1,t_1539552_b_30892_tn_0,14002517,t_1539529_b_30892_tn_0,14002530
11700000,WKO00_S_20211129_20211219,U2-6295,117,1,t_1539553_b_30892_tn_0,14002517,t_1539530_b_30892_tn_0,14002530
11800000,WKO00_Su_20211129_20211219,U1-6106,118,1,t_1539541_b_30892_tn_0,14002517,t_1539532_b_30892_tn_0,14002530
11900000,WKO00_Su_20211129_20211219,U2-6281,119,1,t_1539545_b_30892_tn_0,14002517,t_1539533_b_30892_tn_0,14002530
1200000,WKO00_MTWThF_20211129_20211219_1,U2-CW2,12,1,t_1435932_b_30130_tn_0,14008604,t_1435983_b_30130_tn_0,14008604
12000000,WKO00_Su_20211129_20211219,U2-6282,120,1,t_1539546_b_30892_tn_0,14002517,t_1539534_b_30892_tn_0,14002530
12100000,WKO00_Su_20211129_20211219,U2-6283,121,1,t_1539548_b_30892_tn_0,14002517,t_1539535_b_30892_tn_0,14002530
12200000,WKO00_Su_20211129_20211219,U2-6286,122,1,t_1539549_b_30892_tn_0,14002517,t_1539536_b_30892_tn_0,14002530
12300000,WKO00_Su_20211129_20211219,U2-6293,123,1,t_1539551_b_30892_tn_0,14002517,t_1539537_b_30892_tn_0,14002530
12400000,WKO00_Su_20211129_20211219,U2-6295,124,1,t_1539554_b_30892_tn_0,14002517,t_1539538_b_30892_tn_0,14002530
12500000,WKO00_MTWThF_20211220_20220131_5,20U1-13,125,1,t_1549387_b_30987_tn_0,14002508,t_1549419_b_30987_tn_0,14002530
12600000,WKO00_MTWThF_20211220_20220131_5,20U1-14,126,1,t_1549397_b_30987_tn_0,14003806,t_1549400_b_30987_tn_0,14002530
12700000,WKO00_MTWThF_20211220_20220131_5,20U1-15,127,1,t_1549398_b_30987_tn_0,14003806,t_1549398_b_30987_tn_0,14002530
12800000,WKO00_MTWThF_20211220_20220131_5,20U1-19,128,1,t_1549385_b_30987_tn_0,14002508,t_1549417_b_30987_tn_0,14002530
12900000,WKO00_MTWThF_20211220_20220131_5,20U1-20,129,1,t_1549392_b_30987_tn_0,14002508,t_1549392_b_30987_tn_0,14003806
1300000,WKO00_MTWThF_20211129_20211219_1,U2-CW3,13,1,t_1435943_b_30130_tn_0,14001414,t_1436041_b_30130_tn_0,14008602
13000000,WKO00_MTWThF_20211220_20220131_5,20U1-22,130,1,t_1549389_b_30987_tn_0,14002508,t_1549396_b_30987_tn_0,14002530
13100000,WKO00_MTWThF_20211220_20220131_5,20U1-3,131,1,t_1549442_b_30987_tn_0,14002508,t_1549415_b_30987_tn_0,14002530
13200000,WKO00_MTWThF_20211220_20220131_5,20U1-5,132,1,t_1549444_b_30987_tn_0,14002508,t_1549413_b_30987_tn_0,14002530
13300000,WKO00_MTWThF_20211220_20220131_5,20U1-8,133,1,t_1549443_b_30987_tn_0,14002508,t_1549393_b_30987_tn_0,14002530
13400000,WKO00_MTWThF_20211220_20220131_5,20U2-11,134,1,t_1548384_b_30987_tn_0,14001232,t_1548384_b_30987_tn_0,14002530
13500000,WKO00_MTWThF_20211220_20220131_5,20U2-17,135,1,t_1548387_b_30987_tn_0,14002511,t_1548387_b_30987_tn_0,14001232
13600000,WKO00_MTWThF_20211220_20220131_5,20U2-2,136,1,t_1548383_b_30987_tn_0,14001232,t_1548354_b_30987_tn_0,14001232
13700000,WKO00_MTWThF_20211220_20220131_5,20U2-21,137,1,t_1548385_b_30987_tn_0,14001232,t_1548385_b_30987_tn_0,14002530
13800000,WKO00_MTWThF_20211220_20220131_5,20U2-23,138,1,t_1548350_b_30987_tn_0,14002511,t_1548350_b_30987_tn_0,14001232
13900000,WKO00_MTWThF_20211220_20220131_5,20U2-37,139,1,t_1548395_b_30987_tn_0,14001232,t_1548395_b_30987_tn_0,14002530
1400000,WKO00_MTWThF_20211129_20211219_1,U2-CW4,14,1,t_1435944_b_30130_tn_0,14002376,t_1436023_b_30130_tn_0,14008604
14000000,WKO00_MTWThF_20211220_20220131_5,20U2-7,140,1,t_1548397_b_30987_tn_0,14002511,t_1548351_b_30987_tn_0,14001232
14100000,WKO00_MTWThF_20211220_20220131_5,20U2-9,141,1,t_1548349_b_30987_tn_0,14002511,t_1548349_b_30987_tn_0,14001232
14200000,WKO00_MTWThF_20211220_20220131_5,U1-CC1,142,1,t_1965226_b_30987_tn_0,14001490,t_1965329_b_30987_tn_0,14001490
14300000,WKO00_MTWThF_20211220_20220131_5,U1-CC2,143,1,t_1965311_b_30987_tn_0,14003793,t_1965221_b_30987_tn_0,14003793
14400000,WKO00_MTWThF_20211220_20220131_5,U1-CC3,144,1,t_1965212_b_30987_tn_0,14001490,t_1965343_b_30987_tn_0,14001490
14500000,WKO00_MTWThF_20211220_20220131_5,U1-CC4,145,1,t_1965249_b_30987_tn_0,14001490,t_1965250_b_30987_tn_0,14003793
14600000,WKO00_MTWThF_20211220_20220131_5,U1-CC5,146,1,t_1965334_b_30987_tn_0,14003793,t_1965245_b_30987_tn_0,14003793
14700000,WKO00_MTWThF_20211220_20220131_5,U1-CC6,147,1,t_1965204_b_30987_tn_0,14001490,t_1965242_b_30987_tn_0,14003793
14800000,WKO00_MTWThF_20211220_20220131_5,U1-CC7,148,1,t_1965289_b_30987_tn_0,14003793,t_1965330_b_30987_tn_0,14001490
14900000,WKO00_MTWThF_20211220_20220131_5,U1-D103,149,1,t_1548887_b_30987_tn_0,14002516,t_1549062_b_30987_tn_0,14007566
1500000,WKO00_MTWThF_20211129_20211219_1,U2-CW5,15,1,t_1435938_b_30130_tn_0,14008602,t_1435959_b_30130_tn_0,14002376
15000000,WKO00_MTWThF_20211220_20220131_5,U1-D106,150,1,t_1549578_b_30987_tn_0,14002522,t_1549751_b_30987_tn_0,14008102
15100000,WKO00_MTWThF_20211220_20220131_5,U1-D113,151,1,t_1548889_b_30987_tn_0,14002516,t_1549236_b_30987_tn_0,14005828
15200000,WKO00_MTWThF_20211220_20220131_5,U1-D114,152,1,t_1549611_b_30987_tn_0,14001491,t_1548884_b_30987_tn_0,14002530
15300000,WKO00_MTWThF_20211220_20220131_5,U1-D115,153,1,t_1549583_b_30987_tn_0,14002522,t_1549608_b_30987_tn_0,14001491
15400000,WKO00_MTWThF_20211220_20220131_5,U1-D116,154,1,t_1549585_b_30987_tn_0,14002522,t_1549247_b_30987_tn_0,14002530
15500000,WKO00_MTWThF_20211220_20220131_5,U1-D117,155,1,t_1556460_b_30987_tn_0,14008699,t_1548925_b_30987_tn_0,14002530
15600000,WKO00_MTWThF_20211220_20220131_5,U1-D118,156,1,t_1549298_b_30987_tn_0,14002520,t_1549565_b_30987_tn_0,14002530
15700000,WKO00_MTWThF_20211220_20220131_5,U1-D120,157,1,t_1549779_b_30987_tn_0,14002513,t_1549100_b_30987_tn_0,14002530
15800000,WKO00_MTWThF_20211220_20220131_5,U1-D123,158,1,t_1556461_b_30987_tn_0,14008699,t_1549591_b_30987_tn_0,14001491
15900000,WKO00_MTWThF_20211220_20220131_5,U1-D125,159,1,t_1548910_b_30987_tn_0,14007993,t_1548939_b_30987_tn_0,14007993
1600000,WKO00_MTWThF_20211129_20211219_1,U2-CW6,16,1,t_1435948_b_30130_tn_0,14001212,t_1436007_b_30130_tn_0,14008604
16000000,WKO00_MTWThF_20211220_20220131_5,U1-D126,160,1,t_1549757_b_30987_tn_0,14002513,t_1549575_b_30987_tn_0,14002530
16100000,WKO00_MTWThF_20211220_20220131_5,U1-D127,161,1,t_1549128_b_30987_tn_0,14007566,t_1556453_b_30987_tn_0,14008699
16200000,WKO00_MTWThF_20211220_20220131_5,U1-D129,162,1,t_1549277_b_30987_tn_0,14002520,t_1549279_b_30987_tn_0,14001491
16300000,WKO00_MTWThF_20211220_20220131_5,U1-D130,163,1,t_1556464_b_30987_tn_0,14008699,t_1549792_b_30987_tn_0,14002530
16400000,WKO00_MTWThF_20211220_20220131_5,U1-D131,164,1,t_1549280_b_30987_tn_0,14002520,t_1549071_b_30987_tn_0,14007566
16500000,WKO00_MTWThF_20211220_20220131_5,U1-D242,165,1,t_1548902_b_30987_tn_0,14002516,t_1549258_b_30987_tn_0,14002530
16600000,WKO00_MTWThF_20211220_20220131_5,U2-128,166,1,t_1556481_b_30987_tn_0,14002515,t_1548499_b_30987_tn_0,14002530
16700000,WKO00_MTWThF_20211220_20220131_5,U2-201,167,1,t_1549285_b_30987_tn_0,14002520,t_1548493_b_30987_tn_0,14002530
16800000,WKO00_MTWThF_20211220_20220131_5,U2-202,168,1,t_1547787_b_30987_tn_0,14001487,t_1547324_b_30987_tn_0,14008105
16900000,WKO00_MTWThF_20211220_20220131_5,U2-203,169,1,t_1547325_b_30987_tn_0,14008105,t_1547646_b_30987_tn_0,14002170
1700000,WKO00_MTWThF_20211129_20211219_1,U2-CW7,17,1,t_1435937_b_30130_tn_0,14008602,t_1435925_b_30130_tn_0,14008602
17000000,WKO00_MTWThF_20211220_20220131_5,U2-204,170,1,t_1548359_b_30987_tn_0,14002530,t_1549124_b_30987_tn_0,14002530
17100000,WKO00_MTWThF_20211220_20220131_5,U2-205,171,1,t_1548051_b_30987_tn_0,14001212,t_1547649_b_30987_tn_0,14002170
17200000,WKO00_MTWThF_20211220_20220131_5,U2-206,172,1,t_1547335_b_30987_tn_0,14002519,t_1548496_b_30987_tn_0,14002530
17300000,WKO00_MTWThF_20211220_20220131_5,U2-207,173,1,t_1547337_b_30987_tn_0,14002519,t_1548497_b_30987_tn_0,14002530
17400000,WKO00_MTWThF_20211220_20220131_5,U2-208,174,1,t_1549598_b_30987_tn_0,14002522,t_1549600_b_30987_tn_0,14001491
17500000,WKO00_MTWThF_20211220_20220131_5,U2-209,175,1,t_1548515_b_30987_tn_0,14002509,t_1549272_b_30987_tn_0,14002530
17600000,WKO00_MTWThF_20211220_20220131_5,U2-210,176,1,t_1548052_b_30987_tn_0,14001212,t_1547343_b_30987_tn_0,14002530
17700000,WKO00_MTWThF_20211220_20220131_5,U2-211,177,1,t_1547344_b_30987_tn_0,14002519,t_1548064_b_30987_tn_0,14002530
17800000,WKO00_MTWThF_20211220_20220131_5,U2-212,178,1,t_1547352_b_30987_tn_0,14008105,t_1547678_b_30987_tn_0,14002530
17900000,WKO00_MTWThF_20211220_20220131_5,U2-213,179,1,t_1547679_b_30987_tn_0,14002518,t_1548089_b_30987_tn_0,14001212
1800000,WKO00_MTWThF_20211129_20211219_1,U2-CW8,18,1,t_1435960_b_30130_tn_0,14002044,t_1436004_b_30130_tn_0,14008602
18000000,WKO00_MTWThF_20211220_20220131_5,U2-214,180,1,t_1548506_b_30987_tn_0,14002170,t_1548363_b_30987_tn_0,14001232
18100000,WKO00_MTWThF_20211220_20220131_5,U2-215,181,1,t_1548518_b_30987_tn_0,14002509,t_1549289_b_30987_tn_0,14001491
18200000,WKO00_MTWThF_20211220_20220131_5,U2-216,182,1,t_1548364_b_30987_tn_0,14001232,t_1548228_b_30987_tn_0,14008494
18300000,WKO00_MTWThF_20211220_20220131_5,U2-217,183,1,t_1548365_b_30987_tn_0,14002530,t_1547683_b_30987_tn_0,14002530
