stop_id,stop_city
14006624,Hamilton
14004188,Kihikihi
14005817,Huntly
14002521,Hamilton
14003974,Springfield
14001196,Putaruru
14008222,Matamata
14001664,Te Awamutu
14005707,Hamilton
14005271,Hamilton
14001078,Hamilton
14001391,Hamilton
14003806,Hamilton
14002032,Hamilton
14004073,Hamilton
14001750,Taupiri
14004243,Hamilton
14003795,Hamilton
14001350,Thames
14002775,Tuakau
14008868,Hamilton
14003655,Hamilton
14005884,Morrinsville
14001308,Hamilton
14004853,Hamilton
14001502,Hamilton
14008482,Huntly
14006610,Thames
14008694,Hamilton
14003585,Hamilton
14005664,Raglan
14001277,Hamilton
14004353,Franklin
14008388,Hamilton
14008695,Taupo
14003572,Hamilton
14003151,Hamilton
14007467,Tirau
14006459,Hamilton
14004964,Hamilton
14003907,Hamilton
14001163,Hamilton
14002146,Pokeno
14008656,Hamilton
14002982,Kihikihi
14003759,Hamilton
14006704,Hamilton
14006939,Taupo
14001829,Huntly
14002311,Hamilton
14008082,Matamatapiako
14002863,Hamilton
14006438,Hamilton
14005863,Tuakau
14001832,Hamilton
14004469,Hamilton
14005618,Springfield
14005685,Tuakau
14008233,Raglan
14007946,Hamilton
14001216,Hamilton
14008004,Springfield
14008246,Hamilton
14006743,Hamilton
14001099,Hamilton
14007849,Hamilton
14004594,Hamilton City
14003980,Springfield
14003642,Hamilton
14005792,Tokanui
14003557,Thames
14007497,Hamilton
14003266,Hamilton
14005907,Hamilton
14002145,Hamilton
14006256,Hamilton
14006567,Hamilton
14008025,Hamilton
14005913,Hamilton
14002361,Springfield
14001054,Hamilton
14003477,Thames
14007858,Hamilton
14005738,Hamilton
14003835,Hamilton
14003752,Hamilton
14006961,Hamilton
14006086,Matamata
14005804,Hamilton
14008602,Hamilton
14006476,Hamilton
14002992,Hamilton
14007686,Hamilton
14006342,Wairakei
14003922,Springfield
14003661,Pokeno
14001065,Springfield
14001915,Hamilton
14001254,Springfield
14003578,Cambridge
14005364,Cambridge
14004179,Taupo
14004884,Pokeno
14007777,Hamilton
14004938,Thames
14006349,Pokeno
14001995,Springfield
14001437,Tokoroa
14008141,Whakamaru
14001144,Hamilton
14004986,Hamilton
14006280,Raglan
14001171,Springfield
14003847,Turangi
14005570,Pokeno
14006692,Hamilton
14006875,Hamilton
14002187,Hamilton
