Location,CURRENT PLATE,OWNER / Operator,VEHICLE YEAR,Vehicle year +20,Euro Class,NZTA Registered TARE Weight,NZTA MAKE MODEL SUBMODEL,Vehicle ID,Include/Exclude
Auckland,EUH239,Bayes Coachlines,2009,2029,EURO V,"17,020",MAN NG313 ,,Include
Auckland,EUD410,Bayes Coachlines,2009,2029,EURO IV,"12,600",FACTORY BUILT YOUNGMAN JNP6130G,,Include
Auckland,EUD411,Bayes Coachlines,2009,2029,EURO IV,"12,600",FACTORY BUILT YOUNGMAN JNP6130G,,Include
Auckland,GSS505,Bayes Coachlines,2013,2033,EURO V,"10,920",FACTORY BUILT YOUNGMAN 6120GR,,Include
Auckland,HAU279,Bayes Coachlines,2013,2033,EURO V,"12,260",FACTORY BUILT YOUNGMAN JNP6130GR,,Include
Auckland,HAU280,Bayes Coachlines,2013,2033,EURO V,"12,260",FACTORY BUILT YOUNGMAN JNP6130GR,,Include
Auckland,HME151,Bayes Coachlines,2014,2034,EURO V,"10,900",FACTORY BUILT YOUNGMAN JNP6120GR,,Include
Auckland,HME152,Bayes Coachlines,2014,2034,EURO V,"10,900",FACTORY BUILT YOUNGMAN JNP6120GR,,Include
Auckland,JFK919,Bayes Coachlines,2015,2035,EURO V,"12,200",FACTORY BUILT YOUNGMAN JNP6130R,,Include
Auckland,MBR487,Bayes Coachlines,2019,2039,EURO VI,"8,650",ALEXANDER DENNIS ENVIRO 200 E200MMC,,Include
Auckland,MBR486,Bayes Coachlines,2019,2039,EURO VI,"8,650",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,JFK920,Bayes Coachlines,2015,2035,EURO V,"12,200",FACTORY BUILT YOUNGMAN JNP6130GR,,Include
Auckland,KJQ802,Bayes Coachlines,2017,2037,EURO V,"12,440",YOUNGMAN JNP6130GR ,,Include
Auckland,KJQ803,Bayes Coachlines,2017,2037,EURO V,"12,440",YOUNGMAN JNP6130GR ,,Include
Auckland,KJQ804,Bayes Coachlines,2017,2037,EURO V,"12,440",YOUNGMAN JNP6130GR ,,Include
Auckland,LNH538,Bayes Coachlines,2018,2038,EURO VI,"8,550",ALEXANDER DENNIS ENVIRO 200 E200MMC,,Include
Auckland,LNH539,Bayes Coachlines,2018,2038,EURO VI,"8,565",ALEXANDER DENNIS ENVIRO 200 E200 MMC,,Include
Auckland,LUB537,Bayes Coachlines,2018,2038,EURO V,"14,755",ALEXANDER DENNIS ENVIRO 500 ,,Include
Auckland,LUB536,Bayes Coachlines,2018,2038,EURO V,"14,620",ALEXANDER DENNIS ENVIRO 500 ,,Include
Auckland,LUF563,Bayes Coachlines,2018,2038,EURO V,"17,180",SCANIA K360 UA6X2/2,,Include
Auckland,LUF564,Bayes Coachlines,2018,2038,EURO V,"17,180",SCANIA K360 UA6X2/2,,Include
Auckland,LUF565,Bayes Coachlines,2018,2038,EURO V,"17,180",SCANIA K360 UA6X2/2,,Include
Auckland,LUF566,Bayes Coachlines,2018,2038,EURO V,"17,180",SCANIA K360 UA6X2/2,,Include
Auckland,LUF567,Bayes Coachlines,2018,2038,EURO V,"17,180",SCANIA K360 UA6X2/2,,Include
Auckland,KBA665,Go Bus,2016,2036,EURO V,"9,260",MAN 16.250 HOCL/E5,,Include
Auckland,JSZ353,Go Bus,2016,2036,EURO V,"9,260",MAN 16.250 HOCL/E5,,Include
Auckland,MFQ454,Go Bus,2019,2039,EURO V,"9,360",MAN 16.250 A80,,Include
Auckland,KCU791,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KDL422,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KDL426,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 H0CL/E5,,Include
Auckland,NFL683,Go Bus,2020,2040,EV,"13,210",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS284,Go Bus,2020,2040,EV,"13,240",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS285,Go Bus,2020,2040,EV,"13,210",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS279,Go Bus,2020,2040,EV,"13,260",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS280,Go Bus,2020,2040,EV,"13,240",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS281,Go Bus,2020,2040,EV,"13,250",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS282,Go Bus,2020,2040,EV,"13,220",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS283,Go Bus,2020,2040,EV,"13,220",FACTORY BUILT YUTONG E12,,Include
Auckland,NFS286,Go Bus,2020,2040,EV,"13,260",FACTORY BUILT YUTONG E12,,Include
Auckland,FPA130,Go Bus,2010,2030,EURO IV,"15,550",SCANIA K280 UB6X24,,Include
Auckland,FLS549,Go Bus,2010,2030,EURO IV,"15,350",SCANIA K280 UB6X24LB,,Include
Auckland,FPA124,Go Bus,2010,2030,EURO IV,"12,360",SCANIA K280 UB6X24LB,,Include
Auckland,FHU903,Go Bus,2010,2030,EURO IV,"15,550",SCANIA K280 UB6X24LB,,Include
Auckland,FQL155,Go Bus,2010,2030,EURO IV,"12,550",SCANIA K280 UB6X2*4LB,,Include
Auckland,GCH885,Go Bus,2011,2031,EURO V,"9,900",BCI CITIRIDER ,,Include
Auckland,KFT930,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FAA26,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FAA27,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZI,,Include
Auckland,FAA39,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 ,,Include
Auckland,FAL21,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 ,,Include
Auckland,FHW263,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FAA35,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 ,,Include
Auckland,FAL29,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FAL31,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FAL30,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FAL32,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FBW899,Go Bus,2009,2029,EURO V,"10,630",BCI JXK6126 ,,Include
Auckland,FBW897,Go Bus,2009,2029,EURO V,"10,630",FACTORY BUILT JXK6126 ,,Include
Auckland,FBW898,Go Bus,2009,2029,EURO V,"10,630",BCI JXK6126 ,,Include
Auckland,FBW896,Go Bus,2009,2029,EURO V,"10,630",BCI JXK6126 ,,Include
Auckland,MHC601,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,FAL22,Go Bus,2009,2029,EURO V,"9,270",FACTORY BUILT PK6120 JXK6110BRZ1,,Include
Auckland,KAZ57,Go Bus,2016,2036,EURO V,"12,610",VOLVO B7RLE B7RLE6X2,,Include
Auckland,KBZ849,Go Bus,2016,2036,EURO V,"12,630",VOLVO B7RLE6X2 ,,Include
Auckland,KBZ850,Go Bus,2016,2036,EURO V,"12,790",VOLVO B7RLE6X2 ,,Include
Auckland,KDB681,Go Bus,2016,2036,EURO V,"12,640",VOLVO B7R B7RLE6X2,,Include
Auckland,KDB685,Go Bus,2016,2036,EURO V,"12,490",VOLVO B7RLE B7RLE6X2,,Include
Auckland,KDB704,Go Bus,2016,2036,EURO V,"12,780",VOLVO B7RLE B7RLE6X2,,Include
Auckland,KDB710,Go Bus,2016,2036,EURO V,"12,670",VOLVO B7RLE B7RLE6X2,,Include
Auckland,KDS583,Go Bus,2016,2036,EURO V,"12,690",VOLVO B7RLE B7RLE 6X2,,Include
Auckland,MUE70,Go Bus,2016,2036,EURO V,"9,240",MAN 16.250 HOCL/E5,,Include
Auckland,JZB362,Go Bus,2016,2036,EURO V,"9,300",MAN 16.250 HOCL/E5,,Include
Auckland,MTQ403,Go Bus,2016,2036,EURO V,"9,320",MAN 16.250 HOCL/E5,,Include
Auckland,JZR681,Go Bus,2016,2036,EURO V,"9,280",MAN 16.250 HOCL/E5,,Include
Auckland,JZR668,Go Bus,2016,2036,EURO V,"9,340",MAN 16.250 HOCL/E5,,Include
Auckland,JZR682,Go Bus,2016,2036,EURO V,"9,360",MAN 16.250 HOCL/E5,,Include
Auckland,JZR675,Go Bus,2016,2036,EURO V,"9,280",MAN 16.250 HOCL/E5,,Include
Auckland,JZR690,Go Bus,2016,2036,EURO V,"9,360",MAN 16.250 HOCL/E5,,Include
Auckland,NAR803,Go Bus,2016,2036,EURO V,"9,400",MAN 16.250 HOCL/E5,,Include
Auckland,MML248,Go Bus,2016,2036,EURO V,"9,340",MAN 16.250 HOCL/E5,,Include
Auckland,KAG564,Go Bus,2016,2036,EURO V,"9,300",MAN 16.250 HOCL/E5,,Include
