Date,Route,Route Variant,Direction,Trip Number,Actual Vehicle Type,Vehicle Number,Vehicle Emissions Standard,Start Minute (Sched),Actual Running Time,Actual In-Service KM,Passenger km,Scheduled In-Service km,Cancelled Trips,Sched Running Time per Trip
01-Jan-2022,1,1_1,Inbound,4000,ELVDD,3705,ELECTRIC,06:45,931,21.239,120.695,21.239,0,"3,720"
01-Jan-2022,1,1_1,Inbound,4060,ELVDD,3704,ELECTRIC,07:45,"3,134",21.239,42.381,21.239,0,"3,720"
01-Jan-2022,1,1_1,Inbound,4100,LV,3412,EURO6,08:15,"3,094",21.239,127.285,21.239,0,"3,720"
01-Jan-2022,1,1_1,Inbound,4140,LV,3401,EURO6,08:45,"3,212",21.239,69.496,21.239,0,"4,080"
01-Jan-2022,1,1_1,Inbound,4180,ELVDD,3705,ELECTRIC,09:15,948,21.239,73.054,21.239,0,"4,080"
01-Jan-2022,1,1_1,Inbound,4220,Unknown,3932,Unknown,09:45,"3,723",21.239,135.220,21.239,0,"4,080"
01-Jan-2022,1,1_1,Inbound,4260,ELVDD,3704,ELECTRIC,10:15,"3,548",21.239,125.680,21.239,0,"4,140"
01-Jan-2022,1,1_1,Inbound,4300,Unknown,3965,Unknown,10:45,"3,530",21.239,133.090,21.239,0,"4,620"
01-Jan-2022,1,1_1,Inbound,4340,DD,3501,ELECTRIC,11:15,"3,804",21.239,134.378,21.239,0,"4,500"
01-Jan-2022,1,1_1,Inbound,4380,ELVDD,3714,ELECTRIC,11:45,"3,444",21.239,299.752,21.239,0,"4,500"
01-Jan-2022,1,1_1,Inbound,4420,ELVDD,3701,ELECTRIC,12:15,"3,626",21.239,103.612,21.239,0,"4,620"
01-Jan-2022,1,1_1,Inbound,4460,ELVDD,3708,ELECTRIC,12:45,"3,249",21.239,148.365,21.239,0,"4,200"
01-Jan-2022,1,1_1,Inbound,4500,ELVDD,3707,ELECTRIC,13:15,"3,588",21.239,145.983,21.239,0,"4,200"
01-Jan-2022,1,1_1,Inbound,4540,LV,3443,EURO6,13:45,"3,472",21.239,152.577,21.239,0,"4,200"
01-Jan-2022,1,1_1,Inbound,4580,Unknown,3965,Unknown,14:15,"3,792",21.239,112.122,21.239,0,"4,200"
01-Jan-2022,1,1_1,Inbound,4620,LV,3415,EURO6,14:45,"3,876",21.239,162.760,21.239,0,"4,620"
01-Jan-2022,1,1_1,Inbound,4660,LV,3418,EURO6,15:15,"2,871",21.239,220.538,21.239,0,"4,200"
01-Jan-2022,1,1_1,Inbound,4700,Unknown,Unknown,Unknown,15:45,0,0.000,0.000,21.239,1,"4,200"
01-Jan-2022,1,1_1,Inbound,4740,LV,3447,EURO6,16:15,"3,585",21.239,131.116,21.239,0,"4,200"
01-Jan-2022,1,1_1,Inbound,4780,LV,3401,EURO6,16:45,"3,406",21.239,107.981,21.239,0,"4,200"
01-Jan-2022,1,1_1,Inbound,4820,LV,3429,EURO6,17:15,892,21.239,91.447,21.239,0,"3,900"
01-Jan-2022,1,1_1,Inbound,4860,LV,3412,EURO6,17:45,"3,473",21.239,104.675,21.239,0,"3,900"
01-Jan-2022,1,1_1,Inbound,4900,MV,3004,EURO6,18:15,"3,275",21.239,107.872,21.239,0,"3,900"
01-Jan-2022,1,1_1,Inbound,4940,Unknown,3965,Unknown,18:45,"3,294",21.239,131.197,21.239,0,"3,660"
01-Jan-2022,1,1_1,Inbound,4980,MV,3004,EURO6,19:50,"2,449",21.239,60.368,21.239,0,"3,660"
01-Jan-2022,1,1_1,Inbound,5020,LV,3412,EURO6,20:50,"3,343",21.239,42.388,21.239,0,"3,660"
01-Jan-2022,1,1_1,Inbound,5060,Unknown,Unknown,Unknown,21:40,0,0.000,0.000,21.239,1,"3,660"
01-Jan-2022,1,1_1,Inbound,5100,LV,3401,EURO6,22:40,"2,979",21.239,60.943,21.239,0,"3,660"
01-Jan-2022,1,1_1,Inbound,5140,LV,3449,EURO6,23:45,"3,024",21.239,18.352,21.239,0,"3,660"
01-Jan-2022,1,1_1,Inbound,5160,ELVDD,3707,ELECTRIC,19:15,421,21.239,72.692,21.239,0,"3,660"
01-Jan-2022,1,1_3,Inbound,4040,ELVDD,3707,ELECTRIC,07:26,"3,313",21.426,36.556,21.426,0,"3,600"
01-Jan-2022,1,1_3,Inbound,4120,DD,3501,ELECTRIC,08:31,"3,299",21.426,138.512,21.426,0,"3,780"
01-Jan-2022,1,1_3,Inbound,4200,ELVDD,3708,ELECTRIC,09:31,"3,017",21.426,123.011,21.426,0,"3,780"
01-Jan-2022,1,1_3,Inbound,4280,LV,3443,EURO6,10:31,"3,459",21.426,194.814,21.426,0,"4,320"
01-Jan-2022,1,1_3,Inbound,4360,LV,3412,EURO6,11:31,"3,573",21.426,361.122,21.426,0,"4,320"
01-Jan-2022,1,1_3,Inbound,4440,ELVDD,3705,ELECTRIC,12:31,"1,674",21.426,183.710,21.426,0,"4,320"
01-Jan-2022,1,1_3,Inbound,4520,ELVDD,3704,ELECTRIC,13:31,"3,681",21.426,279.137,21.426,0,"4,200"
