Date Modified,Vehicle Number,Operator,Operator Short Code,Operator Prefix,Unit Number,Mode,Date of First Registration,Date of Manufacture,Bike Rack Capable,Bus Size,Engine Rating,"Max no. of passengers (Seated, Adult)","Max no. of passengers (Standing, Adult)",No. of Wheelchair Spaces,TARE Weight (KG),Vehicle Registration Number,source_filename
23/07/2018,1013,NZ Bus,NZB,NBM,Unit_06,Bus,1/07/2008,1/07/2008,No,MV,EURO4,44,15,1,10000,ENU733,2018-07-23_fleet-list.csv
23/07/2018,1321,NZ Bus,NZB,NBM,Unit_02,Bus,31/10/2002,31/10/2002,No,MV,EURO3,39,17,1,8020,AZE112,2018-07-23_fleet-list.csv
23/07/2018,1322,NZ Bus,NZB,NBM,Unit_02,Bus,17/10/2002,17/10/2002,No,MV,EURO3,39,17,1,8020,AYP208,2018-07-23_fleet-list.csv
23/07/2018,1323,NZ Bus,NZB,NBM,Unit_02,Bus,11/10/2002,11/10/2002,No,MV,EURO3,39,17,1,8020,AYP204,2018-07-23_fleet-list.csv
23/07/2018,1324,NZ Bus,NZB,NBM,Unit_03,Bus,11/10/2002,11/10/2002,No,MV,EURO3,39,17,1,8020,AWZ520,2018-07-23_fleet-list.csv
23/07/2018,1361,NZ Bus,NZB,NBM,Unit_05,Bus,27/06/2002,27/06/2002,No,MV,EURO3,39,17,1,8020,DGZ750,2018-07-23_fleet-list.csv
23/07/2018,1471,NZ Bus,NZB,NBM,Unit_06,Bus,12/12/2003,12/12/2003,Yes,LV81,EURO3,39,44,1,9710,BSJ164,2018-07-23_fleet-list.csv
23/07/2018,1472,NZ Bus,NZB,NBM,Unit_06,Bus,12/12/2003,12/12/2003,Yes,LV81,EURO3,39,44,1,9710,BSJ165,2018-07-23_fleet-list.csv
23/07/2018,1474,NZ Bus,NZB,NBM,Unit_06,Bus,17/12/2003,17/12/2003,Yes,LV81,EURO3,39,44,1,9710,BSJ176,2018-07-23_fleet-list.csv
23/07/2018,1475,NZ Bus,NZB,NBM,Unit_06,Bus,18/12/2003,18/12/2003,Yes,LV81,EURO3,39,44,1,9710,BSJ180,2018-07-23_fleet-list.csv
23/07/2018,1479,NZ Bus,NZB,NBM,Unit_06,Bus,21/01/2004,21/01/2004,Yes,LV81,EURO3,39,44,1,9710,BTL962,2018-07-23_fleet-list.csv
23/07/2018,1480,NZ Bus,NZB,NBM,Unit_06,Bus,23/01/2004,23/01/2004,Yes,LV81,EURO3,39,44,1,9710,BTL968,2018-07-23_fleet-list.csv
23/07/2018,2158,NZ Bus,NZB,NBM,Unit_03,Bus,28/05/2010,28/05/2010,No,LV68,EURO4,41,23,1,12760,FJQ501,2018-07-23_fleet-list.csv
23/07/2018,2159,NZ Bus,NZB,NBM,Unit_03,Bus,3/06/2010,3/06/2010,No,LV68,EURO4,41,23,1,12760,FTL61,2018-07-23_fleet-list.csv
