,Vehicle Number,Vehicle Type,Vehicle Emissions Standard,Vehicle Registration Number,TARE Weight (KG),Total Trips,Routes,Service Types,Total Running Time,Total In-Service KM,Total Passenger KM,Cancelled Trips Count,Average Speed,Average Occupancy,"Total CO2 Emissions, KG","Total Emissions Value, $","Total Emissions Savings, $",Emissions per VKT
0,1459,LV,EURO3,BQU530,9710.0,7,"14, 22, 619","Public Bus, School Bus",14529,85.423,764.091,0,16.081414550472594,8.553590531114072,80.2025070320752,6.977618111790542,6.573241892055613,0.9388865648838743
1,1471,LV,EURO3,BSJ164,9710.0,1205,"22, 3, 14, 35, 21, 81, 83, 722, 13, 12, 37, 762, 33, 760, 784, 18, 719, 615, 34, 36, 711, 621, 737, 739, 754, 84, 667, 761, 704, 740, 619, 736, 764, 741, 886, 888, 742, 612, 28, 791, 753, 744, 767, 2, 616, 743","Public Bus, School Bus",2326336,13354.008,162934.865,3,20.031734609448925,11.202676099441337,13734.01005644261,1194.8588749105072,1694.7282886087237,1.0284560303125931
2,1472,LV,EURO3,BSJ165,9710.0,1057,"3, 14, 81, 83, 711, 22, 619, 764, 18, 12, 84, 34, 21, 2, 13, 36, 736, 784, 37, 739, 35, 722, 33, 704, 740, 667, 888, 612, 737, 769, 719, 754, 761, 755, 758, 617, 743, 712, 886, 745","Public Bus, School Bus",2055512,11554.783,142499.461,4,19.955582359289505,11.803816764243708,11992.885457308681,1043.3810347858555,1483.7920985641447,1.0379152475047504
3,1474,LV,EURO3,BSJ176,9710.0,1594,"3, 18, 21, 22, 34, 612, 13, 14, 35, 667, 754, 36, 81, 84, 12, 83, 33, 37, 2, 722, 619, 736, 740, 741, 760, 784, 739, 615, 719, 742, 621, 888, 761, 711, 614, 718, 743, 744, 769, 762, 745, 704, 755","Public Bus, School Bus",3140422,19785.109,240307.325,3,20.01621537834939,11.591156952484225,18898.776356984214,1644.1935430576266,2617.564439923143,0.9552020338621442
4,1475,LV,EURO3,BSJ180,9710.0,1563,"21, 33, 83, 717, 737, 18, 34, 22, 612, 740, 14, 667, 704, 2, 3, 12, 13, 81, 84, 35, 36, 37, 739, 736, 761, 616, 719, 888, 711, 755, 619, 615, 617, 769, 754, 760, 784, 741, 886, 764, 722, 743","Public Bus, School Bus",2984336,17394.64,210875.027,2,20.297776785135245,11.411521499677646,17759.216990918005,1545.0518782098663,2194.7356198555185,1.0209591570114704
5,1479,LV,EURO3,BTL962,9710.0,1461,"14, 740, 2, 3, 21, 33, 761, 22, 83, 84, 12, 36, 886, 35, 81, 13, 18, 719, 754, 34, 37, 736, 667, 784, 722, 704, 739, 612, 760, 755, 617, 764, 711, 762, 737, 614, 888, 741, 769, 615, 745, 742, 619, 611, 743","Public Bus, School Bus",2934170,17166.664,210073.438,3,20.589196820041288,11.575931617301679,17436.489870305504,1516.9746187165788,2208.5970067372673,1.0157180143040898
6,1480,LV,EURO3,BTL968,9710.0,1258,"3, 14, 21, 22, 35, 37, 83, 36, 33, 18, 740, 84, 615, 81, 12, 13, 760, 784, 34, 612, 704, 739, 719, 616, 755, 743, 667, 736, 619, 764, 621, 745, 886, 761, 2, 711, 888, 718, 737, 617, 722, 769","Public Bus, School Bus",2558935,14375.651,180411.933,2,19.598247187020895,11.917864100530824,14930.299831710925,1298.9360853588503,1900.6001571911497,1.0385825192689309
7,2158,LV,EURO4,FJQ501,12760.0,1915,"14, 3, 12, 21, 22, 34, 35, 18, 33, 37, 36, 83, 13, 2, 754, 84, 761, 888, 615, 81, 736, 712, 760, 784, 704, 755, 722, 617, 739, 764, 886, 711, 717, 616, 619, 740, 612, 737, 667, 762, 745, 758, 744","Public Bus, School Bus",3619952,21791.816,261320.412,4,20.931440830887624,10.866333903248618,22437.776251074898,1952.0865338435162,2682.330465125715,1.0296423322900166
8,2159,LV,EURO4,FTL61,12760.0,1995,"3, 36, 83, 754, 21, 22, 33, 37, 34, 81, 84, 18, 12, 14, 612, 744, 740, 712, 2, 888, 35, 762, 13, 739, 760, 784, 736, 886, 741, 761, 711, 755, 887, 722, 769, 719, 758, 704, 611, 615, 667, 616, 737, 718","Public Bus, School Bus",3911255,23461.264,290818.298,1,20.951068130613077,11.297996711819165,24234.70564152468,2108.419390812647,3049.131271025815,1.0329667507055325
9,2160,LV,EURO4,FHJ210,12760.0,1999,"3, 14, 21, 22, 615, 12, 83, 722, 612, 33, 711, 717, 34, 35, 36, 81, 84, 13, 736, 740, 18, 754, 712, 719, 37, 2, 704, 888, 739, 761, 886, 764, 887, 621, 616, 614, 784, 743, 745, 769, 737, 611","Public Bus, School Bus",4020937,25024.205,297487.399,4,20.722871127905872,11.349436185951417,25113.15772433941,2184.844722017529,3090.979881017087,1.0035546673446532
